gene_id,gene_name,ground_truth,genetic_association,gene_expression,druggability,literature_velocity
GENE0026,Gene0026,0,0.5592071607454135,0.28472008233793555,0.6492331552453089,0.8074316059762817
GENE0027,Gene0027,0,0.3039500980626122,0.15361339519205863,0.9405944096955184,0.9987433700667648
GENE0028,Gene0028,0,0.030817834567939406,0.11549006366535497,0.148438989920058,0.2963620570111649
GENE0029,Gene0029,0,0.43671738923236236,0.021148016336440034,0.5083527384469421,0.4079419511312822
GENE0030,Gene0030,0,0.2145846728195292,0.05539540916426011,0.40403439074076597,0.1368212780296263
GENE0031,Gene0031,0,0.40852864372463615,0.1746414709358527,0.4741687294826181,0.5748719296230336
GENE0032,Gene0032,0,0.8534030732681661,0.05338193262717539,0.11921752619774462,0.9975800372629172
GENE0033,Gene0033,1,0.23393948586534075,0.5911438161109712,0.13409460987276534,0.7008810101206585
GENE0034,Gene0034,1,0.05830274168906602,0.6807145267995064,0.27807554578125737,0.5952128404133717
GENE0035,Gene0035,0,0.28138389202199654,0.39363045683202824,0.3047046037608313,0.392369092921794
GENE0036,Gene0036,0,0.2935937577666836,0.3179910969520494,0.42790321368135,0.9152987602855548
GENE0037,Gene0037,0,0.6619165147268951,0.5045262370222301,0.6109875470366283,0.49691659613034944
GENE0038,Gene0038,0,0.5570321523412783,0.8750049422346086,0.634629117418263,0.1343669133130615
GENE0039,Gene0039,0,0.7838982091064135,0.851131626822206,0.41181089658557024,0.3653784631991335
GENE0040,Gene0040,0,0.6643135403273875,0.04347506201279194,0.4087831094286971,0.0671666688477669
GENE0041,Gene0041,0,0.4063868614400705,0.18149840959652408,0.21762852669696198,0.20197903768878156
GENE0042,Gene0042,0,0.8140203846660347,0.23674487110439602,0.5883062484090082,0.017668780999912204
GENE0043,Gene0043,1,0.1669729199077039,0.24938757583221183,0.3170409113172379,0.4532799165001634
GENE0044,Gene0044,0,0.022712073133860478,0.5712326517427727,0.0360598342773637,0.6345402649517972
GENE0045,Gene0045,0,0.09004786077564175,0.4162624257031923,0.4184000441568604,0.34329246237890776
GENE0046,Gene0046,0,0.7223593505964503,0.04925411992759399,0.4741326750901703,0.4203817715052771
GENE0047,Gene0047,0,0.4618772302513874,0.3736141384595716,0.22559286820421098,0.9592092728445759
GENE0048,Gene0048,0,0.1612717790336018,0.5237529487176372,0.5724579331221157,0.7519631215749155
GENE0049,Gene0049,0,0.5010447751033635,0.10167190290371597,0.5657719004319209,0.5408566369449512
GENE0050,Gene0050,0,0.15231210271316842,0.8334585537885597,0.7020021811103714,0.28454087511182524
GENE0051,Gene0051,0,0.696320375077736,0.051961866465104256,0.64794848220121,0.8969967987729952
GENE0052,Gene0052,0,0.4461562755740307,0.9248418690180621,0.6524330565210316,0.23509711688065948
GENE0053,Gene0053,0,0.3810212260964825,0.0991131415798755,0.3162141518240431,0.32534273051667706
GENE0054,Gene0054,0,0.3015120891478765,0.8435749515977528,0.7874322219859539,0.9090648144229485
GENE0055,Gene0055,1,0.6302825931188885,0.9026531439276171,0.5491443835996794,0.5295420552850724
GENE0056,Gene0056,0,0.3618126105533904,0.9795706805865927,0.4314181951798901,0.7423179494179767
GENE0057,Gene0057,0,0.087649919316101,0.8020258802735936,0.6260124809410571,0.5907447941637661
GENE0058,Gene0058,0,0.11800590212051532,0.7794775407713289,0.3606573344502543,0.6534392090094951
GENE0059,Gene0059,0,0.9618976645495145,0.6424832759955477,0.5127392446067582,0.29938329151482557
GENE0060,Gene0060,0,0.908580690707607,0.778996354578129,0.7367056884822203,0.24137206162666291
GENE0061,Gene0061,0,0.6997071338107496,0.13455220841314708,0.8864028867237077,0.32249234716866526
GENE0062,Gene0062,0,0.2658699614595196,0.5360680359476373,0.9210571972951916,0.15544156408342247
GENE0063,Gene0063,0,0.9691763773477239,0.5142228701904145,0.5036329251830992,0.8743143652908074
GENE0064,Gene0064,0,0.7787509039657946,0.8575721441225576,0.5202751147405691,0.2832469332501141
GENE0065,Gene0065,0,0.7168901891589956,0.46279936559351587,0.7998704107638365,0.5614893944143846
GENE0066,Gene0066,0,0.44936150214378867,0.3850894961003535,0.31445069174420126,0.7919744251413741
GENE0067,Gene0067,1,0.272241561845159,0.6395632712371101,0.8373823623450686,0.7838241093757136
GENE0068,Gene0068,0,0.0963909621534993,0.26646331750084606,0.4941416465174234,0.4383862585841929
GENE0069,Gene0069,0,0.9026023965438417,0.13976841095395687,0.11585672433526839,0.47625730858672566
GENE0070,Gene0070,0,0.45577628983361107,0.4778772740237458,0.0720591470729437,0.9947017489350248
GENE0071,Gene0071,1,0.20236336479523032,0.416889368594885,0.8419932110394631,0.6745974769790241
GENE0072,Gene0072,0,0.3059566241506525,0.2325699405288737,0.0555679169068779,0.8146384431178827
GENE0073,Gene0073,0,0.579219568941896,0.367511810115128,0.2806114361336559,0.9025539692192319
GENE0074,Gene0074,0,0.1767727829392317,0.3663924498262474,0.3341300405015458,0.7875898362293392
GENE0075,Gene0075,1,0.8566142840923755,0.32749556441254546,0.1729944451915938,0.18517934495356758
GENE0076,Gene0076,0,0.7585195298352101,0.37946407972692897,0.31389336980198923,0.5621707337375722
GENE0077,Gene0077,0,0.7194629559509368,0.6857433454559454,0.7426925667250857,0.10189415731454488
GENE0078,Gene0078,0,0.4320930397751037,0.2968764745712853,0.014682843560070769,0.6529221265639984
GENE0079,Gene0079,0,0.6273088407024432,0.9488579267153404,0.8271734245206864,0.955349428187811
GENE0080,Gene0080,0,0.5840979689127356,0.9163480195381779,0.8565480235745582,0.5127320643001113
GENE0081,Gene0081,1,0.64984660155482,0.4809104283000786,0.3722615731915482,0.4329724928677672
GENE0082,Gene0082,0,0.08444432113988909,0.3283612050046888,0.1536128990606348,0.03584275141816318
GENE0083,Gene0083,0,0.41580740217060963,0.5354347898300031,0.6008404079450809,0.9597745223292203
GENE0084,Gene0084,1,0.04161417386189248,0.8485604887736246,0.11967255586489434,0.10300268413015878
GENE0085,Gene0085,0,0.49399081924451893,0.652587340560102,0.3649193610782525,0.041079093304846936
GENE0086,Gene0086,1,0.3298612123327853,0.8043918279470774,0.9584291809009724,0.24606661150493847
GENE0087,Gene0087,0,0.1445241888660469,0.5327222760657402,0.9954644725836371,0.06553043391838242
GENE0088,Gene0088,0,0.10340296772255164,0.6329176292676207,0.7721048913545856,0.45511784241176234
GENE0089,Gene0089,0,0.587644572177712,0.2881556141824617,0.3109615099207662,0.5160878012571124
GENE0090,Gene0090,1,0.1705929685368861,0.7348931623102908,0.6876650491660925,0.3125699490285839
GENE0091,Gene0091,0,0.9251201183767972,0.20240459312571835,0.7054063654840127,0.05096048257488606
GENE0092,Gene0092,0,0.581061139700395,0.6947981288184982,0.38784169516364975,0.1116003682492267
GENE0093,Gene0093,0,0.34686980453483707,0.8607190683258941,0.6408886345861594,0.3845043779899281
GENE0094,Gene0094,0,0.5909154914814168,0.13210283730154393,0.010727644975676243,0.06052845082653613
GENE0095,Gene0095,0,0.022803871029697498,0.6143797405419198,0.20905765860224146,0.6981897256099134
GENE0096,Gene0096,0,0.9585592132414453,0.0950957482299346,0.5250883029672612,0.20702054152481197
GENE0097,Gene0097,0,0.48230343694290023,0.7257156282714269,0.16375130425829587,0.3020715687836385
GENE0098,Gene0098,0,0.7827352272502862,0.08449321882352023,0.16590686787653364,0.3941257771780975
GENE0099,Gene0099,0,0.08272999992243857,0.935939822700626,0.8363042905502379,0.4166096330691479
GENE0100,Gene0100,0,0.48665833083816035,0.13740793003780216,0.9891330026836055,0.0016607076748005323
GENE0101,Gene0101,0,0.4907069943545209,0.9588802459090804,0.5559694280284484,0.11207037099869754
GENE0102,Gene0102,0,0.9378264549749828,0.8008841760850967,0.8390697308817134,0.8627645637408781
GENE0103,Gene0103,1,0.5717280523760754,0.5936820044663541,0.9903216643262726,0.001233062511908134
GENE0104,Gene0104,0,0.4734894010569538,0.7826241046295469,0.1415958885687747,0.5081673558128751
GENE0105,Gene0105,0,0.2669756630918936,0.7951148389830859,0.4482456132543511,0.4895020065072081
GENE0106,Gene0106,1,0.3315689973425522,0.9460270628173303,0.3925727158419199,0.3330941610106378
GENE0107,Gene0107,1,0.5206724024715378,0.2533833538391872,0.08004928364618502,0.43132702014644964
GENE0108,Gene0108,0,0.4389114603050467,0.5900758953583092,0.7553301727947445,0.7805811375265843
GENE0109,Gene0109,0,0.021612079880330426,0.09504919756440122,0.433779027322593,0.8412037062149564
GENE0110,Gene0110,0,0.8262919241943578,0.6161657000241213,0.4693269341904013,0.26034854341525004
GENE0111,Gene0111,0,0.8961607718397667,0.1712913040927888,0.15067297381324019,0.32249044096772983
GENE0112,Gene0112,0,0.14024908899861077,0.5649506114724419,0.18092665223086812,0.24248285302833272
GENE0113,Gene0113,0,0.5540361435390494,0.5724305140338497,0.907103622156215,0.47986340055106513
GENE0114,Gene0114,0,0.10857574113544355,0.46598515298122734,0.04464908897427888,0.6832583576588129
GENE0115,Gene0115,0,0.6722400930398117,0.5226317755131228,0.23285228494370624,0.22825287546342055
GENE0116,Gene0116,0,0.2812337838390083,0.7639233900065879,0.29205933031452835,0.33073574205486667
GENE0117,Gene0117,1,0.6594226346919018,0.7992447165120666,0.4901975424015864,0.9303846175891505
GENE0118,Gene0118,0,0.7269946142868826,0.4921532155754291,0.5864451730147959,0.048569289846958075
GENE0119,Gene0119,1,0.768647491917657,0.5995934415226123,0.4932899758506666,0.4607696052395662
GENE0120,Gene0120,0,0.10774094595589656,0.9312362356901018,0.08411533455688203,0.7115580415967778
GENE0121,Gene0121,0,0.9160118451376079,0.11973358850112281,0.24366745405571355,0.15045401155747407
GENE0122,Gene0122,0,0.23021399089488082,0.1171035659001105,0.8435883847625412,0.047374020005481854
GENE0123,Gene0123,0,0.03741255617617978,0.08770901191076841,0.6375887004784591,0.13820537163853075
GENE0124,Gene0124,0,0.5548524693914834,0.6578632850405278,0.6491490501342744,0.9188231935306829
GENE0125,Gene0125,1,0.37092228386243875,0.4186083007903795,0.6702032553513549,0.009259781821123414
GENE0126,Gene0126,1,0.8297897431324132,0.7743214161418432,0.7629030190395291,0.18832197481135182
GENE0127,Gene0127,1,0.8082514720643018,0.6712314133085926,0.058108481721447336,0.03128351290164455
GENE0128,Gene0128,0,0.31713889282271535,0.33363775832823817,0.3666083849326124,0.11062946756220327
GENE0129,Gene0129,0,0.952899395069745,0.8983665473615358,0.5395274352616787,0.6201492866282963
GENE0130,Gene0130,0,0.2909178381401186,0.7625321470706523,0.338456483297326,0.24163890873908578
GENE0131,Gene0131,0,0.5150571292317145,0.2705349409101757,0.8444788732871865,0.5692120504306768
GENE0132,Gene0132,1,0.25596509056760275,0.364192017772054,0.48257250858729395,0.5901953827661262
GENE0133,Gene0133,0,0.9360435700489633,0.3144399802042629,0.7686275894593791,0.849435333089779
GENE0134,Gene0134,0,0.16460781758201815,0.15761164862499966,0.852015516881169,0.004741392911873921
GENE0135,Gene0135,0,0.04491061939232899,0.14778337254219165,0.5047914829034981,0.8533694593423667
GENE0136,Gene0136,0,0.43509706000303794,0.936127463375744,0.9095522438713499,0.619119086426974
GENE0137,Gene0137,0,0.992375564055837,0.43790403719875326,0.5871239405369806,0.1627434861049576
GENE0138,Gene0138,1,0.891677266254914,0.38331982277740984,0.8502742988337217,0.772937388135284
GENE0139,Gene0139,0,0.7486080194569492,0.7296857086773779,0.3405907955915243,0.8554915417905857
GENE0140,Gene0140,0,0.8907924908785249,0.5529930652528999,0.4988169585314852,0.2542634837541573
GENE0141,Gene0141,0,0.8934466396978632,0.9361399868384622,0.5314110410045777,0.9187936809026809
GENE0142,Gene0142,1,0.5188583603864491,0.7803014939093922,0.10497971589607058,0.4544574302986578
GENE0143,Gene0143,0,0.315929051830793,0.47936956412454035,0.39855250670154063,0.6034244543333215
GENE0144,Gene0144,1,0.772012432110988,0.3763594734808262,0.9173376725516761,0.9846495336176436
GENE0145,Gene0145,0,0.6616612631677611,0.986631544924322,0.6308322403647424,0.36153607863919934
GENE0146,Gene0146,0,0.37365772887371007,0.7177602360036435,0.17750658243696749,0.8131593458201128
GENE0147,Gene0147,0,0.09446666806151527,0.9511946600038411,0.33885563560960497,0.31839911782845964
GENE0148,Gene0148,0,0.746789611349026,0.11847857721704136,0.19160300966269983,0.799213522241491
GENE0149,Gene0149,0,0.2624605159228647,0.8505336791907826,0.02482313179857254,0.6007339188626425
GENE0150,Gene0150,1,0.9368131505337792,0.6370738839912076,0.9274604585040267,0.21635569522540143
GENE0151,Gene0151,0,0.24097057500568475,0.12192167833511258,0.4482073282568715,0.4140260937892364
GENE0152,Gene0152,0,0.12275793241148603,0.5882579999692207,0.30753507242078615,0.3176356343635617
GENE0153,Gene0153,0,0.8311126721249061,0.6860963651054488,0.5984771915577366,0.07810839308036388
GENE0154,Gene0154,1,0.15328431662449404,0.012302685888602838,0.0073144562930156365,0.029834770099697483
GENE0155,Gene0155,0,0.1792683081577391,0.45431796184174655,0.27802210660081383,0.3464786554071809
GENE0156,Gene0156,0,0.5993827915208435,0.8253995111963212,0.7030334656988926,0.01903414781748658
GENE0157,Gene0157,0,0.8745620408374645,0.29535902534408986,0.633769773069263,0.16548775758177503
GENE0158,Gene0158,0,0.19643466571457324,0.4585480817985511,0.9818059475425355,0.7251833208508688
GENE0159,Gene0159,0,0.31032367290009477,0.4423141270678932,0.620357709658044,0.7080912356835879
GENE0160,Gene0160,0,0.7774048382411776,0.3019273914424916,0.4775058736277328,0.7385803864573827
GENE0161,Gene0161,0,0.9718264260609674,0.9184418955155542,0.7614325631840076,0.31715317112997876
GENE0162,Gene0162,0,0.5007411862023423,0.7812940354315159,0.9033278719640531,0.8900194571176955
GENE0163,Gene0163,1,0.14389750255125078,0.1105884109961105,0.7206959467183516,0.5938305480284476
GENE0164,Gene0164,1,0.013936287708201545,0.9970346578375731,0.9632112235493796,0.12602634174662652
GENE0165,Gene0165,0,0.22965602999885526,0.8792000243077452,0.7820051707381772,0.14371866145553414
GENE0166,Gene0166,1,0.13182221778652103,0.28390843786403896,0.8668014382619265,0.6930954269297015
GENE0167,Gene0167,1,0.6776586736128575,0.8368965796609382,0.11410407118363719,0.17294393644207806
GENE0168,Gene0168,0,0.12183250462853112,0.10641953187138287,0.7324135029937877,0.5072927015820433
GENE0169,Gene0169,1,0.506329931620633,0.9991047304742386,0.4400886995273686,0.9917744759287107
GENE0170,Gene0170,1,0.6942624356428865,0.6656847361065369,0.5531038024112752,0.004007604733339498
GENE0171,Gene0171,0,0.5811166092209024,0.650125015558797,0.6541024094823568,0.016579801897556923
GENE0172,Gene0172,0,0.19977565166005762,0.09044072698413275,0.9698151167055694,0.9930845819305065
GENE0173,Gene0173,1,0.8041245261822627,0.8970333988966253,0.9845780814316246,0.5846388341341655
GENE0174,Gene0174,1,0.7154071296158017,0.028999503204469423,0.28822824548790527,0.12690997551851313
GENE0175,Gene0175,0,0.7389840039155418,0.24082805804114704,0.7337534974379162,0.8973021997540936
GENE0176,Gene0176,1,0.13105775155731325,0.143021875166635,0.7499835379352686,0.8803803001276922
GENE0177,Gene0177,0,0.12375380365034461,0.7767679406922186,0.3464928613130488,0.5362004131113752
GENE0178,Gene0178,0,0.9275625510065076,0.19820422721289788,0.12386977486422102,0.6217920298607565
GENE0179,Gene0179,0,0.39757819382494064,0.9106382271308853,0.04094696028571976,0.27318719150087634
GENE0180,Gene0180,1,0.30094869178093975,0.6562690393274901,0.7773431275291786,0.05051969637200515
GENE0181,Gene0181,0,0.4885840453515333,0.036162710494696215,0.4896997418169059,0.5945676088908644
GENE0182,Gene0182,0,0.6628642127635824,0.0054298341287004614,0.9855401694949262,0.294755193202763
GENE0183,Gene0183,0,0.9556232570469699,0.051657917014398924,0.46497345619365305,0.6636210466603519
GENE0184,Gene0184,0,0.286446226882055,0.6059251776477277,0.9779169790738402,0.8362451768426012
GENE0185,Gene0185,0,0.9248084293120271,0.8014818108594153,0.4115760021940599,0.018160543914364058
GENE0186,Gene0186,0,0.024859491386256316,0.23855282062738847,0.7936821505599726,0.5957137746857274
GENE0187,Gene0187,0,0.5551980423268247,0.849408842923073,0.08481927231183206,0.23128053968685225
GENE0188,Gene0188,0,0.6339751116810851,0.057231940153260386,0.5554617101377639,0.8738884979038014
GENE0189,Gene0189,0,0.1058974037507533,0.8009638536416762,0.8020597869857242,0.2536645065618285
GENE0190,Gene0190,0,0.14033959706391264,0.9277954301722804,0.9247016672198887,0.6107701332354183
GENE0191,Gene0191,0,0.41911431931630383,0.7721083991043806,0.8225830906174316,0.5535408400896115
GENE0192,Gene0192,0,0.9662319121431817,0.6981207839786372,0.036970727201174225,0.3961665000592489
GENE0193,Gene0193,0,0.5960425532343728,0.8379802186553831,0.3727023413067342,0.6776207635997941
GENE0194,Gene0194,0,0.9330232216002112,0.04015129954706642,0.04869847231385127,0.7257696347154339
GENE0195,Gene0195,0,0.8043609156129707,0.20178211071905539,0.109282291114558,0.5669377953193868
GENE0196,Gene0196,0,0.4673816015552915,0.12492367930564308,0.6753056286674841,0.7584222371847541
GENE0197,Gene0197,0,0.7847634492521874,0.5045309901929865,0.7132581963116982,0.9834170759929376
GENE0198,Gene0198,0,0.017836783976987736,0.7451881283288445,0.7737206827516263,0.4192723879008051
GENE0199,Gene0199,0,0.10914399676573494,0.6300118445763987,0.8654565480556629,0.5145830518855309
