gene1,gene2,weight
GENE0120,GENE0163,1.0
GENE0121,GENE0127,1.0
GENE0121,GENE0130,1.0
GENE0122,GENE0127,1.0
GENE0122,GENE0144,1.0
GENE0122,GENE0194,1.0
GENE0123,GENE0145,1.0
GENE0123,GENE0175,1.0
GENE0123,GENE0199,1.0
GENE0124,GENE0143,1.0
GENE0124,GENE0147,1.0
GENE0124,GENE0182,1.0
GENE0126,GENE0167,1.0
GENE0126,GENE0194,1.0
GENE0126,GENE0198,1.0
GENE0127,GENE0139,1.0
GENE0127,GENE0150,1.0
GENE0127,GENE0176,1.0
GENE0128,GENE0129,1.0
GENE0128,GENE0134,1.0
GENE0128,GENE0181,1.0
GENE0128,GENE0197,1.0
GENE0129,GENE0166,1.0
GENE0130,GENE0163,1.0
GENE0131,GENE0136,1.0
GENE0131,GENE0155,1.0
GENE0133,GENE0135,1.0
GENE0133,GENE0136,1.0
GENE0133,GENE0148,1.0
GENE0135,GENE0152,1.0
GENE0135,GENE0178,1.0
GENE0135,GENE0199,1.0
GENE0136,GENE0158,1.0
GENE0136,GENE0195,1.0
GENE0137,GENE0181,1.0
GENE0138,GENE0165,1.0
GENE0138,GENE0183,1.0
GENE0138,GENE0191,1.0
GENE0140,GENE0142,1.0
GENE0140,GENE0176,1.0
GENE0141,GENE0157,1.0
GENE0141,GENE0181,1.0
GENE0143,GENE0159,1.0
GENE0143,GENE0195,1.0
GENE0144,GENE0198,1.0
GENE0144,GENE0199,1.0
GENE0146,GENE0170,1.0
GENE0147,GENE0189,1.0
GENE0148,GENE0164,1.0
GENE0148,GENE0191,1.0
GENE0148,GENE0197,1.0
GENE0150,GENE0158,1.0
GENE0151,GENE0163,1.0
GENE0151,GENE0189,1.0
GENE0152,GENE0159,1.0
GENE0152,GENE0168,1.0
GENE0152,GENE0188,1.0
GENE0154,GENE0161,1.0
GENE0156,GENE0160,1.0
GENE0156,GENE0186,1.0
GENE0157,GENE0161,1.0
GENE0157,GENE0169,1.0
GENE0157,GENE0189,1.0
GENE0158,GENE0174,1.0
GENE0158,GENE0195,1.0
GENE0160,GENE0164,1.0
GENE0162,GENE0172,1.0
GENE0163,GENE0185,1.0
GENE0164,GENE0170,1.0
GENE0165,GENE0186,1.0
GENE0165,GENE0188,1.0
GENE0166,GENE0183,1.0
GENE0171,GENE0194,1.0
GENE0173,GENE0181,1.0
GENE0173,GENE0187,1.0
GENE0176,GENE0177,1.0
GENE0177,GENE0180,1.0
GENE0179,GENE0187,1.0
GENE0180,GENE0182,1.0
GENE0183,GENE0189,1.0
GENE0183,GENE0194,1.0
GENE0000,GENE0019,1.0
GENE0019,GENE0034,1.0
GENE0034,GENE0046,1.0
GENE0046,GENE0064,1.0
GENE0064,GENE0073,1.0
